Gene,pathways
BNA4,"['PATHWAY     sce00380  Tryptophan metabolism', 'sce01100  Metabolic pathways', 'sce01240  Biosynthesis of cofactors']"
ATP1,"['PATHWAY     sce00190  Oxidative phosphorylation', 'sce01100  Metabolic pathways']"
PKC1,"['PATHWAY     sce04011  MAPK signaling pathway - yeast', 'sce04070  Phosphatidylinositol signaling system', 'sce04139  Mitophagy - yeast']"
NTH2,"['PATHWAY     sce00500  Starch and sucrose metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites']"
RER2,"['PATHWAY     sce00900  Terpenoid backbone biosynthesis', 'sce01110  Biosynthesis of secondary metabolites']"
COQ1,"['PATHWAY     sce00900  Terpenoid backbone biosynthesis', 'sce01110  Biosynthesis of secondary metabolites']"
UGA2,"['PATHWAY     sce00250  Alanine, aspartate and glutamate metabolism', 'sce00310  Lysine degradation', 'sce00350  Tyrosine metabolism', 'sce00650  Butanoate metabolism', 'sce00760  Nicotinate and nicotinamide metabolism', 'sce01100  Metabolic pathways']"
IPP1,['PATHWAY     sce00190  Oxidative phosphorylation']
MNN2,"['PATHWAY     sce00513  Various types of N-glycan biosynthesis', 'sce01100  Metabolic pathways']"
KAP104,['PATHWAY     sce03013  Nucleocytoplasmic transport']
GAL7,"['PATHWAY     sce00052  Galactose metabolism', 'sce00520  Amino sugar and nucleotide sugar metabolism', 'sce01100  Metabolic pathways', 'sce01250  Biosynthesis of nucleotide sugars']"
GAL10,"['PATHWAY     sce00010  Glycolysis / Gluconeogenesis', 'sce00052  Galactose metabolism', 'sce00520  Amino sugar and nucleotide sugar metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01250  Biosynthesis of nucleotide sugars']"
GAL1,"['PATHWAY     sce00052  Galactose metabolism', 'sce00520  Amino sugar and nucleotide sugar metabolism', 'sce01100  Metabolic pathways', 'sce01250  Biosynthesis of nucleotide sugars']"
CHS3,"['PATHWAY     sce00520  Amino sugar and nucleotide sugar metabolism', 'sce01100  Metabolic pathways']"
CDS1,"['PATHWAY     sce00564  Glycerophospholipid metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce04070  Phosphatidylinositol signaling system']"
RPL4A,['PATHWAY     sce03010  Ribosome']
CHS2,"['PATHWAY     sce00520  Amino sugar and nucleotide sugar metabolism', 'sce01100  Metabolic pathways']"
TCM62,['PATHWAY     sce03018  RNA degradation']
GIP1,['PATHWAY     sce04113  Meiosis - yeast']
RPS11B,['PATHWAY     sce03010  Ribosome']
RFS1,"['PATHWAY     sce00130  Ubiquinone and other terpenoid-quinone biosynthesis', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01240  Biosynthesis of cofactors']"
PRP6,['PATHWAY     sce03040  Spliceosome']
ORC2,"['PATHWAY     sce04111  Cell cycle - yeast', 'sce04113  Meiosis - yeast']"
HSP26,['PATHWAY     sce04141  Protein processing in endoplasmic reticulum']
RDH54,['PATHWAY     sce03440  Homologous recombination']
SEC18,['PATHWAY     sce04138  Autophagy - yeast']
UBC4,"['PATHWAY     sce04120  Ubiquitin mediated proteolysis', 'sce04141  Protein processing in endoplasmic reticulum']"
TEC1,"['PATHWAY     sce04011  MAPK signaling pathway - yeast', 'sce04392  Hippo signaling pathway - multiple species']"
RPL19A,['PATHWAY     sce03010  Ribosome']
MIS1,"['PATHWAY     sce00670  One carbon pool by folate', 'sce01100  Metabolic pathways', 'sce01240  Biosynthesis of cofactors']"
RFC5,"['PATHWAY     sce03030  DNA replication', 'sce03420  Nucleotide excision repair', 'sce03430  Mismatch repair']"
POL30,"['PATHWAY     sce03030  DNA replication', 'sce03410  Base excision repair', 'sce03420  Nucleotide excision repair', 'sce03430  Mismatch repair']"
PHO3,"['PATHWAY     sce00730  Thiamine metabolism', 'sce00740  Riboflavin metabolism', 'sce01100  Metabolic pathways']"
PHO5,"['PATHWAY     sce00730  Thiamine metabolism', 'sce00740  Riboflavin metabolism', 'sce01100  Metabolic pathways', 'sce04111  Cell cycle - yeast']"
VPS15,"['PATHWAY     sce04136  Autophagy - other', 'sce04138  Autophagy - yeast']"
MMS4,['PATHWAY     sce03440  Homologous recombination']
FES1,['PATHWAY     sce04141  Protein processing in endoplasmic reticulum']
YSA1,"['PATHWAY     sce00230  Purine metabolism', 'sce01100  Metabolic pathways']"
CYC8,"['PATHWAY     sce04011  MAPK signaling pathway - yeast', 'sce04111  Cell cycle - yeast']"
LYS2,"['PATHWAY     sce00300  Lysine biosynthesis', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01230  Biosynthesis of amino acids']"
TKL2,"['PATHWAY     sce00030  Pentose phosphate pathway', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01200  Carbon metabolism', 'sce01230  Biosynthesis of amino acids']"
GRS1,['PATHWAY     sce00970  Aminoacyl-tRNA biosynthesis']
TPS1,"['PATHWAY     sce00500  Starch and sucrose metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites']"
VMA2,"['PATHWAY     sce00190  Oxidative phosphorylation', 'sce01100  Metabolic pathways', 'sce04145  Phagosome']"
ATG14,['PATHWAY     sce04138  Autophagy - yeast']
CCZ1,['PATHWAY     sce04138  Autophagy - yeast']
HSL7,"['PATHWAY     sce04011  MAPK signaling pathway - yeast', 'sce04111  Cell cycle - yeast']"
CKS1,['PATHWAY     sce04111  Cell cycle - yeast']
SUP45,['PATHWAY     sce03015  mRNA surveillance pathway']
ADH5,"['PATHWAY     sce00010  Glycolysis / Gluconeogenesis', 'sce00071  Fatty acid degradation', 'sce00350  Tyrosine metabolism', 'sce00620  Pyruvate metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites']"
ARA1,"['PATHWAY     sce00053  Ascorbate and aldarate metabolism', 'sce01100  Metabolic pathways']"
RIB7,"['PATHWAY     sce00740  Riboflavin metabolism', 'sce01100  Metabolic pathways', 'sce01240  Biosynthesis of cofactors']"
IFA38,"['PATHWAY     sce00062  Fatty acid elongation', 'sce01040  Biosynthesis of unsaturated fatty acids', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01212  Fatty acid metabolism']"
CDC28,"['PATHWAY     sce04011  MAPK signaling pathway - yeast', 'sce04111  Cell cycle - yeast', 'sce04113  Meiosis - yeast']"
TYR1,"['PATHWAY     sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01230  Biosynthesis of amino acids']"
POP7,['PATHWAY     sce03008  Ribosome biogenesis in eukaryotes']
SSE2,['PATHWAY     sce04141  Protein processing in endoplasmic reticulum']
NPL4,['PATHWAY     sce04141  Protein processing in endoplasmic reticulum']
UMP1,['PATHWAY     sce03050  Proteasome']
ECM31,"['PATHWAY     sce00770  Pantothenate and CoA biosynthesis', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01240  Biosynthesis of cofactors']"
RPS6B,['PATHWAY     sce03010  Ribosome']
SMP1,['PATHWAY     sce04011  MAPK signaling pathway - yeast']
YPC1,"['PATHWAY     sce00600  Sphingolipid metabolism', 'sce01100  Metabolic pathways']"
BEM1,['PATHWAY     sce04011  MAPK signaling pathway - yeast']
DER1,['PATHWAY     sce04141  Protein processing in endoplasmic reticulum']
MCM7,"['PATHWAY     sce03030  DNA replication', 'sce04111  Cell cycle - yeast', 'sce04113  Meiosis - yeast']"
KTR3,['PATHWAY     sce00514  Other types of O-glycan biosynthesis']
MET8,"['PATHWAY     sce00860  Porphyrin and chlorophyll metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01240  Biosynthesis of cofactors']"
ATG12,"['PATHWAY     sce04136  Autophagy - other', 'sce04138  Autophagy - yeast']"
PYC2,"['PATHWAY     sce00020  Citrate cycle (TCA cycle)', 'sce00620  Pyruvate metabolism', 'sce01100  Metabolic pathways', 'sce01200  Carbon metabolism', 'sce01230  Biosynthesis of amino acids']"
PCS60,"['PATHWAY     sce00630  Glyoxylate and dicarboxylate metabolism', 'sce01100  Metabolic pathways']"
ROT2,"['PATHWAY     sce00510  N-Glycan biosynthesis', 'sce01100  Metabolic pathways', 'sce04141  Protein processing in endoplasmic reticulum']"
ABD1,['PATHWAY     sce03015  mRNA surveillance pathway']
PRP5,['PATHWAY     sce03040  Spliceosome']
HIS7,"['PATHWAY     sce00340  Histidine metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01230  Biosynthesis of amino acids']"
ARO4,"['PATHWAY     sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01230  Biosynthesis of amino acids']"
MRPS5,['PATHWAY     sce03010  Ribosome']
DUT1,"['PATHWAY     sce00240  Pyrimidine metabolism', 'sce01100  Metabolic pathways']"
RIB5,"['PATHWAY     sce00740  Riboflavin metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01240  Biosynthesis of cofactors']"
POP4,['PATHWAY     sce03008  Ribosome biogenesis in eukaryotes']
SHM1,"['PATHWAY     sce00260  Glycine, serine and threonine metabolism', 'sce00460  Cyanoamino acid metabolism', 'sce00630  Glyoxylate and dicarboxylate metabolism', 'sce00670  One carbon pool by folate', 'sce00680  Methane metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01200  Carbon metabolism', 'sce01230  Biosynthesis of amino acids', 'sce01240  Biosynthesis of cofactors']"
TSC10,"['PATHWAY     sce00600  Sphingolipid metabolism', 'sce01100  Metabolic pathways']"
UBX7,['PATHWAY     sce04141  Protein processing in endoplasmic reticulum']
DPB3,"['PATHWAY     sce03030  DNA replication', 'sce03410  Base excision repair', 'sce03420  Nucleotide excision repair']"
PAF1,['PATHWAY     sce04011  MAPK signaling pathway - yeast']
SSH1,"['PATHWAY     sce03060  Protein export', 'sce04141  Protein processing in endoplasmic reticulum', 'sce04145  Phagosome']"
MAL32,"['PATHWAY     sce00052  Galactose metabolism', 'sce00500  Starch and sucrose metabolism', 'sce01100  Metabolic pathways']"
STP22,['PATHWAY     sce04144  Endocytosis']
HIS4,"['PATHWAY     sce00340  Histidine metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01230  Biosynthesis of amino acids']"
STE50,['PATHWAY     sce04011  MAPK signaling pathway - yeast']
ATG22,['PATHWAY     sce04138  Autophagy - yeast']
GLK1,"['PATHWAY     sce00010  Glycolysis / Gluconeogenesis', 'sce00051  Fructose and mannose metabolism', 'sce00052  Galactose metabolism', 'sce00500  Starch and sucrose metabolism', 'sce00520  Amino sugar and nucleotide sugar metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01200  Carbon metabolism', 'sce01250  Biosynthesis of nucleotide sugars']"
POF1,"['PATHWAY     sce00760  Nicotinate and nicotinamide metabolism', 'sce01100  Metabolic pathways']"
APA1,"['PATHWAY     sce00230  Purine metabolism', 'sce00920  Sulfur metabolism', 'sce01100  Metabolic pathways']"
PBN1,"['PATHWAY     sce00563  Glycosylphosphatidylinositol (GPI)-anchor biosynthesis', 'sce01100  Metabolic pathways']"
MRC1,['PATHWAY     sce04111  Cell cycle - yeast']
CHA1,"['PATHWAY     sce00260  Glycine, serine and threonine metabolism', 'sce00270  Cysteine and methionine metabolism', 'sce00290  Valine, leucine and isoleucine biosynthesis', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01200  Carbon metabolism', 'sce01230  Biosynthesis of amino acids']"
HMLALPHA2,['PATHWAY     sce04113  Meiosis - yeast']
YCP4,"['PATHWAY     sce00130  Ubiquinone and other terpenoid-quinone biosynthesis', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01240  Biosynthesis of cofactors']"
ADP1,['PATHWAY     sce02010  ABC transporters']
PGK1,"['PATHWAY     sce00010  Glycolysis / Gluconeogenesis', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01200  Carbon metabolism', 'sce01230  Biosynthesis of amino acids']"
POL4,['PATHWAY     sce03450  Non-homologous end-joining']
SLM5,['PATHWAY     sce00970  Aminoacyl-tRNA biosynthesis']
ELO2,"['PATHWAY     sce00062  Fatty acid elongation', 'sce01040  Biosynthesis of unsaturated fatty acids', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01212  Fatty acid metabolism']"
RRP43,['PATHWAY     sce03018  RNA degradation']
RBK1,"['PATHWAY     sce00030  Pentose phosphate pathway', 'sce01100  Metabolic pathways']"
MATALPHA2,['PATHWAY     sce04113  Meiosis - yeast']
TAF2,['PATHWAY     sce03022  Basal transcription factors']
IMG1,['PATHWAY     sce03010  Ribosome']
ARE1,['PATHWAY     sce00100  Steroid biosynthesis']
THR4,"['PATHWAY     sce00260  Glycine, serine and threonine metabolism', 'sce00750  Vitamin B6 metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01230  Biosynthesis of amino acids']"
PWP2,['PATHWAY     sce03008  Ribosome biogenesis in eukaryotes']
BUD31,['PATHWAY     sce03040  Spliceosome']
SED4,['PATHWAY     sce04141  Protein processing in endoplasmic reticulum']
ATG15,"['PATHWAY     sce00561  Glycerolipid metabolism', 'sce01100  Metabolic pathways', 'sce04138  Autophagy - yeast']"
SSK22,['PATHWAY     sce04011  MAPK signaling pathway - yeast']
SOL2,"['PATHWAY     sce00030  Pentose phosphate pathway', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01200  Carbon metabolism']"
PAT1,['PATHWAY     sce03018  RNA degradation']
TUP1,"['PATHWAY     sce04011  MAPK signaling pathway - yeast', 'sce04111  Cell cycle - yeast']"
MSH3,['PATHWAY     sce03430  Mismatch repair']
CDC39,['PATHWAY     sce03018  RNA degradation']
HMRA1,['PATHWAY     sce04113  Meiosis - yeast']
ADH7,"['PATHWAY     sce00010  Glycolysis / Gluconeogenesis', 'sce00040  Pentose and glucuronate interconversions', 'sce00053  Ascorbate and aldarate metabolism', 'sce00561  Glycerolipid metabolism', 'sce00620  Pyruvate metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01240  Biosynthesis of cofactors']"
MCD1,['PATHWAY     sce04111  Cell cycle - yeast']
PTC1,['PATHWAY     sce04011  MAPK signaling pathway - yeast']
RPT2,['PATHWAY     sce03050  Proteasome']
APC11,"['PATHWAY     sce04111  Cell cycle - yeast', 'sce04113  Meiosis - yeast', 'sce04120  Ubiquitin mediated proteolysis']"
TSC13,"['PATHWAY     sce00062  Fatty acid elongation', 'sce01040  Biosynthesis of unsaturated fatty acids', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01212  Fatty acid metabolism']"
CDC7,"['PATHWAY     sce04111  Cell cycle - yeast', 'sce04113  Meiosis - yeast']"
GPM2,"['PATHWAY     sce00010  Glycolysis / Gluconeogenesis', 'sce00260  Glycine, serine and threonine metabolism', 'sce00680  Methane metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01200  Carbon metabolism', 'sce01230  Biosynthesis of amino acids']"
GPD1,"['PATHWAY     sce00564  Glycerophospholipid metabolism', 'sce01110  Biosynthesis of secondary metabolites', 'sce04011  MAPK signaling pathway - yeast']"
DIA3,"['PATHWAY     sce00730  Thiamine metabolism', 'sce00740  Riboflavin metabolism', 'sce01100  Metabolic pathways']"
MPS1,['PATHWAY     sce04111  Cell cycle - yeast']
ARP2,"['PATHWAY     sce04138  Autophagy - yeast', 'sce04144  Endocytosis']"
PRP9,['PATHWAY     sce03040  Spliceosome']
GPR1,"['PATHWAY     sce04113  Meiosis - yeast', 'sce04213  Longevity regulating pathway - multiple species']"
SIR2,"['PATHWAY     sce00760  Nicotinate and nicotinamide metabolism', 'sce01100  Metabolic pathways', 'sce04213  Longevity regulating pathway - multiple species']"
PRP11,['PATHWAY     sce03040  Spliceosome']
FAD1,"['PATHWAY     sce00740  Riboflavin metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01240  Biosynthesis of cofactors']"
SLC1,"['PATHWAY     sce00561  Glycerolipid metabolism', 'sce00564  Glycerophospholipid metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites']"
PSA1,"['PATHWAY     sce00051  Fructose and mannose metabolism', 'sce00520  Amino sugar and nucleotide sugar metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01240  Biosynthesis of cofactors', 'sce01250  Biosynthesis of nucleotide sugars']"
MBP1,['PATHWAY     sce04111  Cell cycle - yeast']
RAD59,['PATHWAY     sce03440  Homologous recombination']
UBC9,"['PATHWAY     sce03013  Nucleocytoplasmic transport', 'sce04120  Ubiquitin mediated proteolysis']"
PEX19,['PATHWAY     sce04146  Peroxisome']
IDP1,"['PATHWAY     sce00020  Citrate cycle (TCA cycle)', 'sce00480  Glutathione metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01200  Carbon metabolism', 'sce01210  2-Oxocarboxylic acid metabolism', 'sce01230  Biosynthesis of amino acids', 'sce04146  Peroxisome']"
COX9,"['PATHWAY     sce00190  Oxidative phosphorylation', 'sce01100  Metabolic pathways']"
YET3,['PATHWAY     sce04141  Protein processing in endoplasmic reticulum']
VAM6,['PATHWAY     sce04138  Autophagy - yeast']
MDH3,"['PATHWAY     sce00020  Citrate cycle (TCA cycle)', 'sce00270  Cysteine and methionine metabolism', 'sce00620  Pyruvate metabolism', 'sce00630  Glyoxylate and dicarboxylate metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01200  Carbon metabolism']"
THI3,"['PATHWAY     sce00010  Glycolysis / Gluconeogenesis', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites']"
RPL13A,['PATHWAY     sce03010  Ribosome']
ASM4,['PATHWAY     sce03013  Nucleocytoplasmic transport']
RAM1,"['PATHWAY     sce00900  Terpenoid backbone biosynthesis', 'sce01110  Biosynthesis of secondary metabolites']"
PMT5,"['PATHWAY     sce00514  Other types of O-glycan biosynthesis', 'sce00515  Mannose type O-glycan biosynthesis', 'sce01100  Metabolic pathways']"
PMT1,"['PATHWAY     sce00514  Other types of O-glycan biosynthesis', 'sce00515  Mannose type O-glycan biosynthesis', 'sce01100  Metabolic pathways']"
RPN6,['PATHWAY     sce03050  Proteasome']
SNU23,['PATHWAY     sce03040  Spliceosome']
DUN1,['PATHWAY     sce04111  Cell cycle - yeast']
POL3,"['PATHWAY     sce03030  DNA replication', 'sce03410  Base excision repair', 'sce03420  Nucleotide excision repair', 'sce03430  Mismatch repair', 'sce03440  Homologous recombination']"
QRI1,"['PATHWAY     sce00520  Amino sugar and nucleotide sugar metabolism', 'sce01100  Metabolic pathways', 'sce01250  Biosynthesis of nucleotide sugars']"
PHO2,['PATHWAY     sce04111  Cell cycle - yeast']
KIN28,"['PATHWAY     sce03022  Basal transcription factors', 'sce03420  Nucleotide excision repair']"
RRP42,['PATHWAY     sce03018  RNA degradation']
NUP84,['PATHWAY     sce03013  Nucleocytoplasmic transport']
YFH1,['PATHWAY     sce00860  Porphyrin and chlorophyll metabolism']
CDC48,['PATHWAY     sce04141  Protein processing in endoplasmic reticulum']
PCL2,['PATHWAY     sce04111  Cell cycle - yeast']
RPP1B,['PATHWAY     sce03010  Ribosome']
LYS21,"['PATHWAY     sce00300  Lysine biosynthesis', 'sce00620  Pyruvate metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01210  2-Oxocarboxylic acid metabolism', 'sce01230  Biosynthesis of amino acids']"
CDC53,"['PATHWAY     sce04111  Cell cycle - yeast', 'sce04120  Ubiquitin mediated proteolysis', 'sce04141  Protein processing in endoplasmic reticulum']"
RPL41B,['PATHWAY     sce03010  Ribosome']
PPH21,"['PATHWAY     sce03015  mRNA surveillance pathway', 'sce04111  Cell cycle - yeast', 'sce04113  Meiosis - yeast', 'sce04136  Autophagy - other', 'sce04138  Autophagy - yeast']"
RPL35B,['PATHWAY     sce03010  Ribosome']
ARF2,['PATHWAY     sce04144  Endocytosis']
RGT2,['PATHWAY     sce04113  Meiosis - yeast']
RPO21,['PATHWAY     sce03020  RNA polymerase']
BPL1,"['PATHWAY     sce00780  Biotin metabolism', 'sce01100  Metabolic pathways']"
CRD1,"['PATHWAY     sce00564  Glycerophospholipid metabolism', 'sce01100  Metabolic pathways']"
RPN5,['PATHWAY     sce03050  Proteasome']
ATG9,"['PATHWAY     sce04136  Autophagy - other', 'sce04138  Autophagy - yeast']"
RPC53,['PATHWAY     sce03020  RNA polymerase']
CLB3,"['PATHWAY     sce04111  Cell cycle - yeast', 'sce04113  Meiosis - yeast']"
STE7,['PATHWAY     sce04011  MAPK signaling pathway - yeast']
DHH1,['PATHWAY     sce03018  RNA degradation']
ENT1,['PATHWAY     sce04144  Endocytosis']
CDC9,"['PATHWAY     sce03030  DNA replication', 'sce03410  Base excision repair', 'sce03420  Nucleotide excision repair', 'sce03430  Mismatch repair']"
CDC36,['PATHWAY     sce03018  RNA degradation']
FAP7,"['PATHWAY     sce00230  Purine metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01240  Biosynthesis of cofactors', 'sce03008  Ribosome biogenesis in eukaryotes']"
